ID	SPQ1	SPQ2	SPQ3	SPQ4	SPQ5	SPQ6	SPQ7	SPQ8	SPQ9	SPQ10	SPQ11	SPQ12	SPQ13	SPQ14	SPQ15	SPQ16	SPQ17	SPQ18	SPQ19	SPQ20
1281	4	3	2	2	3	2	3	4	2	3	2	4	3	1	2	3	2	2	3	4
1282	2	3	1	4	4	2	1	3	2	3	3	4	4	3	2	5	3	3	4	4
1283	4	4	3	4	4	3	1	3	3	4	3	3	4	2	1	5	2	5	4	4
1284	4	3	1	2	4	3	1	1	4	5	2	2	4	3	1	3	2	4	3	2
1285	4	2	1	3	2	1	2	4	4	5	3	2	2	1	1	3	2	4	3	2
1286	4	4	1	4	5	5	2	4	4	3	2	4	4	2	1	5	1	5	4	3
1287	3	4	2	3	4	4	3	2	4	3	1	2	4	3	2	2	3	3	2	3
1288	1	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1289	5	4	2	4	5	4	2	4	5	5	4	3	4	4	1	1	4	5	2	2
1290	3	4	3	4	4	3	3	5	4	3	2	3	4	2	4	4	3	4	5	4
1291	4	3	2	4	5	3	2	1	3	5	3	3	4	1	2	2	2	3	2	3
1292	5	3	1	4	4	4	1	5	4	5	1	1	4	1	1	2	4	3	3	1
1293	2	2	4	4	2	2	5	3	3	4	3	3	4	2	2	4	1	4	4	3
1294	4	5	1	1	5	4	1	4	4	5	3	1	5	3	1	2	4	5	1	1
1295	4	4	5	4	1	3	1	5	1	5	1	1	3	1	1	5	5	5	3	1
1296	5	4	1	1	5	5	1	3	4	5	2	1	5	3	1	1	3	5	1	1
1297	5	5	5	5	5	4	4	5	5	5	5	4	4	5	4	5	5	4	5	5
1298	5	5	2	4	1	4	2	5	2	5	4	4	3	3	1	1	1	2	3	1
1299	3	4	2	3	5	4	2	4	4	5	4	4	4	2	2	1	1	3	4	3
1300	4	5	1	2	4	3	1	1	4	4	1	2	4	3	1	2	2	4	1	1
1301	2	3	1	4	5	5	1	2	4	4	2	2	4	3	1	2	4	4	2	1
1302	4	4	3	4	4	5	1	3	4	5	3	2	4	2	1	4	3	4	4	2
1303	3	4	2	5	4	3	2	4	2	3	3	3	3	2	2	5	1	2	4	4
1304	5	3	2	3	2	4	1	4	4	5	1	2	4	4	2	2	2	5	2	2
1305	2	4	4	4	4	4	2	4	4	2	2	2	4	2	2	2	2	2	2	4
1306	5	4	2	4	4	4	2	3	4	5	2	3	5	3	1	1	3	4	2	1
1307	4	4	2	5	3	3	1	5	3	3	1	4	4	4	2	1	2	5	3	3
1308	4	4	1	2	2	4	2	2	4	5	3	2	4	3	1	5	3	5	3	4
1309	3	4	4	3	2	2	3	4	2	4	3	4	3	2	3	4	2	4	3	4
1310	3	1	2	5	2	2	3	1	2	4	1	2	3	2	1	4	4	3	3	4
1311	5	4	1	2	2	4	1	4	5	5	1	2	5	5	1	1	3	4	1	2
